,model_name
0,1 1/8GB Bluish Black (5033D-2JALUAA)
1,1 5033D 1/16GB Volcano Black (5033D-2LALUAF)
2,1 5033D 1/16GB Volcano Black (5033D-2LALUAF)
3,1 5033D 1/16GB Volcano Black (5033D-2LALUAF)
4,1.3 1/16GB Charcoal
5,10 6/64GB Black
6,10 Lite 3/32GB Blue
7,10 Lite 4/64GB Black
8,10 lite 3/128GB Blue
9,10 lite 3/64GB Black
10,10 lite 3/64GB Black
11,10 lite 3/64GB Blue
12,10i 4/128GB Black (51093VQV)
13,10i 4/128GB Blue (51093VQX)
14,15 4/128GB Black
15,15 4/64GB Black
16,15 4/64GB Black
17,15 4/64GB Black
18,15 Plus 6/64GB Black
19,15 Plus 6/64GB Gray
20,15 Plus 6/64GB Gray
21,16 6/128GB Black
22,16 6/64GB Black
23,16X 6/128GB Dual Purple
24,16Xs 6/128GB Pearl White
25,16th 6/64GB Black
26,1B 5002H Pine Green (5002H-2BALUA12)
27,1B 5002H Prime Black (5002H-2AALUA12)
28,1SE 3/32GB Power Gray (5030D-2AALUA2)
29,1SE 4/128GB Agate Green (5030E-2BALUA2)
30,1SE 4/128GB Agate Green (5030E-2BALUA2)
31,2.2 2/16GB Black
32,2.3 2/32GB Green
33,2.4 2/32GB Charcoal
34,20 6/128GB Black
35,2720 Flip Black (16BTSB01A10)
36,3 Pro 6/128GB Nitro Blue
37,3 Pro 6/128GB Nitro Blue
38,3.4 3/64GB Charcoal
39,3T 128GB (Gunmetal)
40,3T 128GB (Gunmetal)
41,3T 64GB (Gunmetal)
42,3X 5048Y Black (5048Y-2AALWE12)
43,40 Neon
44,40 Neon
45,5 4/128GB Violet
46,5 6/64GB Black
47,5 6/64GB Slate Grey
48,5 Pro 8/128GB Green
49,5 Pro 8/128GB Green
50,5 Pro 8/128GB Green
51,5.3 4/64GB Charcoal
52,5.4 4/128GB Polar Night
53,5i 4/64GB Green
54,6 4/128GB Blue
55,6 4/64GB Blue
56,6 64GB Black
57,6 64GB Silver
58,6 8/128GB Blue
59,6 Pro 8/128GB Blue
60,6.1 4/32GB Black
61,6.1 4/64GB Black
62,6.1 Plus 4/64GB Blue
63,6S 4/64GB Eclipse Black
64,6S 4/64GB Eclipse Black
65,6S 6/128GB Lunar White
66,6T 8/256GB Midnight Black
67,6i 3/64GB White
68,6i 4/128GB Green
69,7 16GB (Gold)
70,7 16GB (Gold)
71,7 16GB (Gold)
72,7 6/64GB Mist Blue
73,7 8/256GB Mirror Gray
74,7 Plus 4/64GB Black
75,7 Pro 8/128GB Mirror Blue
76,8 12/256GB Onyx Black
77,8 3/32GB Blue
78,8 4/64GB (Blue)
79,8 8/128GB Onyx Black
80,8 Dual SIM Silver
81,8 Pro 12/256GB Glacial Green
82,8 Pro 8/128GB Onyx Black
83,8.3 5G 8/128GB Polar Night
84,8A 2/32GB Gold
85,8A 3/64GB Blue
86,8A 3/64GB Blue
87,8S 2/32GB Black (51093ULM)
88,8S 2/32GB Black (51093ULM)
89,8T 12/256GB Cyberpunk 2077 Limited Edition
90,8T 12/256GB Lunar Silver
91,8T 8/128GB Aquamarine Green
92,8x Max 4/64GB Black
93,8x Max 4/64GB Black
94,8x Max 4/64GB Blue
95,9 4/64GB Dual Blue
96,9 Lite 3/32GB Midnight Black
97,9i 3/32GB Black
98,9i 3/32GB Black
99,9i 4/64GB Blue
100,9i 4/64GB Blue
101,9x 4/128GB Black
102,A10 6/128GB Black
103,A12 3/32GB Black
104,A12 4/64GB Blue
105,A30 2/16GB Black
106,A30 2/16GB Black
107,A31 4/64GB Mystery Black
108,A5 2020 3/64GB Black
109,A50 GRANITE 2/16GB Black
110,A512 Harmony Pro DS Black
111,A52 4/64GB Twilight Black
112,A53 4/128GB Electric Black
113,A53 4/64GB Black
114,A5L+ 2/16GB Grey
115,A5s 3/32Gb Blue
116,A60 1/16GB Black
117,A60 Plus 4/64GB Black
118,A60 Pro 3/16GB Black
119,A7 2/32GB L19111 Blue
120,A7 Pro 4/128GB Black
121,A7 Pro 4/128GB Black
122,A7 Pro 4/64GB Black
123,A72 4/128GB Aurora Purple
124,A73 4/128GB Navy Blue
125,A7S 2/32GB Black
126,A8 3/32GB Black
127,A80 2/16GB Red
128,A80 Pro 4/64GB Black
129,A9 2020 4/128GB Marine Green
130,A9 2020 4/128GB Space Purple
131,A9 4/32GB Black
132,A9 4/64GB Black
133,A91 8/128GB Black
134,Action-X3 3/32GB Black
135,Aquos D10 4/64GB Black
136,Armor 10 5G 8/128GB Black
137,Armor 3W 6/64GB Black
138,Armor 3WT 6/64GB Black
139,Armor 7E 4/128GB Black
140,Armor 7E 4/128GB Black
141,Armor 8 4/64GB Black (6937748733744)
142,Armor 9 8/128GB Black (6937748733515)
143,Armor 9E 8/128GB Black (6937748733805)
144,Armor 9E 8/128GB Black (6937748733805)
145,Armor X3 2/32GB Black
146,Armor X5 3/32GB Red (6937748733256)
147,Armor X5 Pro 4/64GB Black (6937748733829)
148,Armor X6 2/16GB Orange
149,Armor X7 2/16GB Orange
150,Armor X7 Pro 4/32GB Black
151,Armor X8 4/64GB Black
152,B1P DS Champagne Gold
153,B1P DS Champagne Gold
154,B505 Unit 4G Dual Sim Black
155,BL5000 Black (6924351609900)
156,BL5000 Black (6924351609900)
157,BL5500 Lite 2/16GB Dual Sim Gold
158,BV4900 3/32GB Black
159,BV4900 Pro 4/64GB Orange
160,BV5100 4/128GB Green
161,BV5100 Pro 4/128GB Black
162,BV5500 2/16GB Black
163,BV5500 Plus 3/32GB Black
164,BV5500 Pro 3/16GB Black
165,BV5500 Pro 3/16GB Black
166,BV5800 Pro 2/16GB Black
167,BV5900 3/32GB Black
168,BV6100 3/16GB Black
169,BV6300 3/32GB Black
170,BV6300 Pro 6/128GB Black
171,BV6800 Pro 4/64GB Black
172,BV6900 4/64GB Black
173,BV8000 Pro Lion Gold
174,BV8000 Pro Lion Gold
