,brand_name,best_price,os,memory_size,battery_size,sellers_amount,screen_size,model_names,model_specs
0,ALCATEL,1690.0,Android,8.0,2000.0,36,5.0,1 1/8GB,Pro_Max Dual
1,ALCATEL,1803.0,Android,16.0,2000.0,36,5.0,1 5033D,1/16GB_Volcano (5033D-2LALUAF)
2,ALCATEL,1803.0,Android,16.0,2000.0,36,5.0,1 5033D,1/16GB_Volcano (5033D-2LALUAF)
3,ALCATEL,1803.0,Android,16.0,2000.0,36,5.0,1 5033D,1/16GB_Volcano (5033D-2LALUAF)
4,Nokia,1999.0,Android,16.0,3000.0,10,5.71,1.3 1/16GB,Pro_Max Dual
5,Honor,10865.0,Android,64.0,3400.0,2,5.8,10 6/64GB,Pro_Max Dual
6,Honor,3999.0,Android,32.0,3400.0,2,6.21,10 Lite,Pro_Max Dual
7,Honor,4973.0,Android,64.0,3400.0,6,6.21,10 Lite,Pro_Max Dual
8,Honor,5100.0,Android,128.0,3400.0,3,6.21,10 lite,Pro_Max Dual
9,Honor,4948.0,Android,64.0,3400.0,8,6.21,10 lite,Pro_Max Dual
10,Honor,4948.0,Android,64.0,3400.0,8,6.21,10 lite,Pro_Max Dual
11,Honor,5165.0,Android,64.0,3400.0,7,6.21,10 lite,Pro_Max Dual
12,Honor,5499.0,Android,128.0,3400.0,2,6.21,10i 4/128GB,Pro_Max Dual
13,Honor,5499.0,Android,128.0,3400.0,2,6.21,10i 4/128GB,Pro_Max Dual
14,Meizu,6584.0,Android,128.0,3000.0,1,5.45,15 4/128GB,Pro_Max Dual
15,Meizu,5272.0,Android,64.0,3000.0,3,5.45,15 4/64GB,Pro_Max Dual
16,Meizu,5272.0,Android,64.0,3000.0,3,5.45,15 4/64GB,Pro_Max Dual
17,Meizu,5272.0,Android,64.0,3000.0,3,5.45,15 4/64GB,Pro_Max Dual
18,Meizu,5328.0,Android,64.0,3500.0,1,5.95,15 Plus,Pro_Max Dual
19,Meizu,5328.0,Android,64.0,3500.0,1,5.95,15 Plus,Pro_Max Dual
20,Meizu,5328.0,Android,64.0,3500.0,1,5.95,15 Plus,Pro_Max Dual
21,Meizu,5926.0,Android,128.0,3100.0,11,6.0,16 6/128GB,Pro_Max Dual
22,Meizu,5231.0,Android,64.0,3100.0,19,6.0,16 6/64GB,Pro_Max Dual
23,Meizu,5649.0,Android,128.0,3100.0,2,6.0,16X 6/128GB,Pro_Max Dual
24,Meizu,7229.0,Android,128.0,4000.0,11,6.2,16Xs 6/128GB,Pro_Max Dual
25,Meizu,7776.0,Android,64.0,3010.0,9,6.0,16th 6/64GB,Pro_Max Dual
26,ALCATEL,2399.0,Android,16.0,3000.0,4,5.5,1B 5002H,Pro_Max Dual
27,ALCATEL,2408.0,Android,16.0,3000.0,31,5.5,1B 5002H,Pro_Max Dual
28,ALCATEL,3249.0,Android,32.0,4000.0,38,6.22,1SE 3/32GB,Pro_Max Dual
29,ALCATEL,3877.0,Android,128.0,4000.0,35,6.22,1SE 4/128GB,Pro_Max Dual
30,ALCATEL,3877.0,Android,128.0,4000.0,35,6.22,1SE 4/128GB,Pro_Max Dual
31,Nokia,2299.0,Android,16.0,3000.0,1,5.71,2.2 2/16GB,Pro_Max Dual
32,Nokia,2799.0,Android,32.0,4000.0,2,6.2,2.3 2/32GB,Pro_Max Dual
33,Nokia,3162.0,Android,32.0,4500.0,17,6.5,2.4 2/32GB,Pro_Max Dual
34,Honor,9999.0,Android,128.0,3750.0,1,6.26,20 6/128GB,Pro_Max Dual
35,Nokia,2530.0,iOS,4.0,1500.0,26,2.8,2720 Flip,Pro_Max Dual
36,realme,7068.0,Android,128.0,4045.0,1,6.3,3 Pro,Pro_Max Dual
37,realme,7068.0,Android,128.0,4045.0,1,6.3,3 Pro,Pro_Max Dual
38,Nokia,3899.0,Android,64.0,4000.0,24,6.39,3.4 3/64GB,Pro_Max Dual
39,OnePlus,6991.0,OxygenOS,128.0,3400.0,9,5.5,3T 128GB,Pro_Max Dual
40,OnePlus,6991.0,OxygenOS,128.0,3400.0,9,5.5,3T 128GB,Pro_Max Dual
41,OnePlus,5856.0,OxygenOS,64.0,3400.0,10,5.5,3T 64GB,Pro_Max Dual
42,ALCATEL,3590.0,Android,64.0,4000.0,1,6.52,3X 5048Y,Pro_Max Dual
43,Archos,840.0,Android,8.0,1300.0,1,4.0,40 Neon,Pro_Max Dual
44,Archos,840.0,Android,8.0,1300.0,1,4.0,40 Neon,Pro_Max Dual
45,realme,5757.0,Android,128.0,5000.0,1,6.5,5 4/128GB,Pro_Max Dual
46,OnePlus,7333.0,Android,64.0,3300.0,1,5.5,5 6/64GB,Pro_Max Dual
47,OnePlus,7333.0,Android,64.0,3300.0,1,5.5,5 6/64GB,Pro_Max Dual
48,realme,8294.0,Android,128.0,4035.0,1,6.3,5 Pro,Pro_Max Dual
49,realme,8294.0,Android,128.0,4035.0,1,6.3,5 Pro,Pro_Max Dual
50,realme,8294.0,Android,128.0,4035.0,1,6.3,5 Pro,Pro_Max Dual
51,Nokia,4429.0,Android,64.0,4000.0,42,6.55,5.3 4/64GB,Pro_Max Dual
52,Nokia,9323.0,Android,128.0,4000.0,4,6.39,5.4 4/128GB,Pro_Max Dual
53,realme,4761.0,Android,64.0,5000.0,2,6.5,5i 4/64GB,Pro_Max Dual
54,realme,5936.0,Android,128.0,4300.0,20,6.5,6 4/128GB,Pro_Max Dual
55,realme,5299.0,Android,64.0,4300.0,1,6.5,6 4/64GB,Pro_Max Dual
56,Nokia,6381.0,Android,64.0,3000.0,3,5.5,6 64GB,Pro_Max Dual
57,Nokia,5265.0,Android,64.0,3000.0,1,5.5,6 64GB,Pro_Max Dual
58,realme,6767.0,Android,128.0,4300.0,34,6.5,6 8/128GB,Pro_Max Dual
59,realme,8045.0,Android,128.0,4300.0,10,6.6,6 Pro,Pro_Max Dual
60,Nokia,3820.0,Android,32.0,3000.0,2,5.5,6.1 4/32GB,Pro_Max Dual
61,Nokia,3962.0,Android,64.0,3000.0,4,5.5,6.1 4/64GB,Pro_Max Dual
62,Nokia,5020.0,Android,64.0,3060.0,1,5.8,6.1 Plus,Pro_Max Dual
63,realme,5777.0,Android,64.0,4300.0,1,6.5,6S 4/64GB,Pro_Max Dual
64,realme,5777.0,Android,64.0,4300.0,1,6.5,6S 4/64GB,Pro_Max Dual
65,realme,6078.0,Android,128.0,4300.0,5,6.5,6S 6/128GB,Pro_Max Dual
66,OnePlus,15625.0,Android,256.0,3700.0,8,6.41,6T 8/256GB,Pro_Max Dual
67,realme,4292.0,Android,64.0,5000.0,17,6.5,6i 3/64GB,Pro_Max Dual
68,realme,4946.0,Android,128.0,5000.0,27,6.5,6i 4/128GB,Pro_Max Dual
69,Honor,2766.0,Android,16.0,3100.0,1,5.2,7 16GB,Pro_Max Dual
70,Honor,2766.0,Android,16.0,3100.0,1,5.2,7 16GB,Pro_Max Dual
71,Honor,2766.0,Android,16.0,3100.0,1,5.2,7 16GB,Pro_Max Dual
72,realme,6215.0,Android,64.0,5000.0,3,6.5,7 6/64GB,Pro_Max Dual
73,OnePlus,14443.0,Android,256.0,3700.0,11,6.41,7 8/256GB,Pro_Max Dual
74,Nokia,7612.0,Android,64.0,3800.0,2,6.0,7 Plus,Pro_Max Dual
75,realme,8584.0,Android,128.0,4500.0,23,6.4,7 Pro,Pro_Max Dual
76,OnePlus,17172.0,Android,256.0,4300.0,11,6.55,8 12/256GB,Pro_Max Dual
77,Honor,3613.0,Android,32.0,3000.0,3,5.2,8 3/32GB,Pro_Max Dual
